Country,2030 Forecast,2035 Forecast,2040 Forecast,2020 Actual,% Change (2020→2040)
Australia,429.86,433.22,435.57,398.55,9.29
Brazil,524.16,537.54,548.22,448.0,22.37
China,12083.76,12280.5,12377.31,10896.52,13.59
Germany,688.34,655.04,622.56,647.18,-3.8
India,3971.2,4529.25,5073.5,2422.73,109.41
Japan,1138.99,1139.01,1139.02,1037.29,9.81
Russia,1730.89,1733.67,1734.58,1631.9,6.29
South Africa,461.12,462.71,463.69,435.3,6.52
United Kingdom,184.58,108.8,34.89,326.26,-89.31
United States,5270.18,5267.81,5266.94,4689.95,12.3
